"","sample_ 1","sample_ 2","sample_ 3","sample_ mean","percent"
"bioclim_01",0.012,0.015,0.013,0.013,0
"bioclim_02",0.015,0.015,0.015,0.015,0
"bioclim_03",0.027,0.027,0.026,0.027,0
"bioclim_04",0.042,0.047,0.042,0.044,1
"bioclim_05",0.045,0.045,0.045,0.045,1
"bioclim_06",0.082,0.083,0.085,0.083,1
"bioclim_07",0.107,0.115,0.114,0.112,1
"bioclim_08",0.114,0.114,0.114,0.114,1
"bioclim_09",0.505,0.46,0.434,0.466,5
"bioclim_10",0.434,0.433,0.435,0.434,5
"bioclim_11",0.561,0.574,0.587,0.574,7
"bioclim_12",0.608,0.606,0.607,0.607,7
"bioclim_13",0.737,0.739,0.738,0.738,9
"bioclim_14",0.739,0.739,0.739,0.739,9
"bioclim_15",0.751,0.755,0.752,0.753,9
"bioclim_16",0.961,0.97,0.973,0.968,11
"bioclim_17",0.97,0.971,0.972,0.971,11
"bioclim_18",0.972,0.972,0.972,0.972,11
"bioclim_19",0.977,0.973,0.976,0.975,11
