"","init.auc","sample.auc","change.auc","percent"
"bioclim_01",0.895,0.87,0.025,2
"bioclim_02",0.895,0.865,0.03,2
"bioclim_03",0.895,0.85,0.045,4
"bioclim_04",0.895,0.813,0.0820000000000001,6
"bioclim_05",0.895,0.804,0.091,7
"bioclim_06",0.895,0.841,0.054,4
"bioclim_07",0.895,0.781,0.114,9
"bioclim_08",0.895,0.781,0.114,9
"bioclim_09",0.895,0.811,0.084,7
"bioclim_10",0.895,0.808,0.087,7
"bioclim_11",0.895,0.817,0.0780000000000001,6
"bioclim_12",0.895,0.83,0.0650000000000001,5
"bioclim_13",0.895,0.832,0.0630000000000001,5
"bioclim_14",0.895,0.832,0.0630000000000001,5
"bioclim_15",0.895,0.827,0.0680000000000001,5
"bioclim_16",0.895,0.839,0.056,4
"bioclim_17",0.895,0.842,0.053,4
"bioclim_18",0.895,0.842,0.053,4
"bioclim_19",0.895,0.851,0.044,3
